% This file provides a mapping between instrument make/model entries in the 
% deployment database, and the corresponding parsers to use for data that 
% comes from those instruments. 
%
% Note that the assumption is made that instrument make/model fields will 
% never contain a comma character.
%
% format: make, model, parser

AQUATEC, 		AQUALOGGER, 													aquatec
Aquatec, 		Aqualogger 520T, 												aquatec
Aquatec, 		Aqualogger 520PT, 												aquatec
BRANCKER,       TEMPERATURE LOGGER TR-1060P,                                    XR
BRANCKER,       TIDE GAUGE - TDR-2050,                                          XR
BRANCKER,       TEMPERATURE PRESSURE - TDR-2050,                                XR
BRANCKER,		WAVE/TIDE GAUGE - TWR-2050P,									XR
FSI, 			NXIC BIO-500, 													NXICBinary
NORTEK, 		ADCP - AQUAPRO, 												aquadoppProfiler
NORTEK, 		ADCP - AWAC, 													awac
NORTEK, 		ADCP - CONTINENTAL, 											continental
Aquatec, 		Aqualogger 520T, 												aquatec
Aquatec, 		Aqualogger 520PT, 												aquatec
Teledyne RD, 	Workhorse ADCP, 												workhorse
FSI, 			NXIC BIO-500, 													NXICBinary
SEABIRD, 		SBE19plus V2, 													SBE19
RDI, 			ADCP - WORKHORSE QUARTERMASTER, 								workhorse
RDI, 			ADCP - WORKHORSE SENTINEL, 										workhorse
SEABIRD, 		SBE39P - TEMPERATURE & PRESSURE RECORDER, 						SBE39
SEABIRD, 		SBE39IM - TEMPERATURE RECORDER, 								SBE39
SEABIRD, SBE37SM + P, SBE37SM
WETLABS,	ECO-FLNTUSB,	ECOTriplet
WETLABS,	PARS,	ECOTriplet
REEFNET, SENSUS ULTRA, sensusUltra
SEABIRD, SBE16 - CONDUCTIVITY TEMPERATURE LOGGER, SBE19
SEABIRD, CTD - SBE19PLUS V2 SEACAT, SBE19
REEFNET, SENSUS ULTRA, sensusUltra
RDI, ADCP-WORKHORSE-SENTINEL, workhorse
AQUATEC, AQUALOGGER MODEL 520, aquatec
FSI, NXIC-CTD-BIO, NXICBinary
NORTEK, ADCP - AWAC AST, awac
SEABIRD, SBE56 - TEMPERATURE RECORDER, SBE56
WETLABS, WQM, WQM
RDI, ADCP - WORKHORSE SENTINEL NEMO, awac
SEABIRD, SBE16PLUS V2 SEACAT, SBE19
RDI, ADCP - WORKHORSE LONGRANGER, workhorse
SEABIRD, SBE39 - TEMPERATURE RECORDER, SBE39
SEABIRD, SBE37SMP, SBE37SM
BRANCKER, PRESSURE LOGGER SoloD, XR
ONSET, HOBO_U22_001, hoboU22
SEABIRD, SBE37IMP, SBE37SM
